user_id,airport_id
0,3249
1,4328
2,32524
3,307928
4,354380
5,42770
6,46141
7,312682
8,4205
9,6213
10,28968
11,27084
12,15336
13,42207
14,26762
15,809
16,921
17,26868
18,16508
19,317774
20,26872
21,27756
22,12281
23,34962
24,333229
25,26407
26,2478
27,6482
28,4250
29,2442
30,42217
31,27117
32,19969
33,19577
34,2965
35,5829
36,41263
37,4941
38,16
39,308893
40,19849
41,35006
42,17368
43,21041
44,19325
45,31697
46,19324
47,18701
48,2060
49,29993
50,930
51,4221
52,285
53,44937
54,320288
55,2601
56,331796
57,686
58,318482
59,4486
60,21078
61,21238
62,19757
63,4132
64,3256
65,337041
66,3116
67,6493
68,39084
69,1079
70,20238
71,20486
72,35144
73,17654
74,20127
75,20683
76,21142
77,18723
78,3173
79,2110
80,29675
81,32264
82,3020
83,3050
84,315702
85,27235
86,43126
87,41513
88,933
89,6184
90,3139
91,26727
92,20741
93,316767
94,41082
95,5390
96,30845
97,3373
98,1227
99,39292
100,6030
101,24340
102,316761
103,35228
104,19489
105,1980
106,6087
107,309771
108,29966
109,4844
110,27132
111,333588
112,1683
113,5499
114,22659
115,30208
116,2812
117,28157
118,323331
119,1122
120,5535
121,27179
122,302187
123,3969
124,1987
125,30635
126,5036
127,344674
128,331735
129,41462
130,46650
131,26684
132,31893
133,29656
134,4783
135,1905
136,1235
137,318055
138,6467
139,12243
140,35112
141,5373
142,29194
143,21165
144,26562
145,1136
146,35202
147,3956
148,28174
149,30336
150,18756
151,321844
152,31776
153,19652
154,1923
155,28802
156,18531
157,19000
158,2650
159,30921
160,11138
161,44628
162,31837
163,21306
164,10686
165,26463
166,311020
167,30708
168,18348
169,2117
170,17178
171,18632
172,19674
173,937
174,354
175,312005
176,31702
177,2450
178,1511
179,35186
180,32672
181,21161
182,321864
183,17054
184,41554
185,31076
186,32019
187,314212
188,3511
189,5997
190,46081
191,319089
192,3396
193,320680
194,28833
195,5924
196,2764
197,6438
198,6092
199,28761
200,4640
201,313852
202,5130
203,27156
204,20290
205,626
206,27262
207,29682
208,2429
209,3642
210,1797
211,4113
212,20776
213,26957
214,5524
215,25569
216,20338
217,4961
218,30635
219,19994
220,4844
221,906
222,35104
223,330813
224,32125
225,513482
226,19322
227,3079
228,26848
229,27307
